_id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
686e082f2a3a3e8156b54d8a,20000,1,3,1,36,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
686e082f2a3a3e8156b559db,50000,1,2,2,54,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
686e082f2a3a3e8156b53c31,180000,2,1,1,45,0,0,0,0,2,0,16452,18472,20546,24956,24262,24782,2616,2690,5100,0,1058,2000,0
686e082f2a3a3e8156b4fa0b,20000,2,2,2,25,0,0,0,0,0,3,8011,9041,10903,11622,13280,12778,1320,2181,900,2000,0,0,0
686e082f2a3a3e8156b5207e,500000,2,1,1,54,0,0,0,0,0,0,428841,432871,436858,432945,338417,318436,15703,12000,15236,98363,11000,9000,0
686e082f2a3a3e8156b532be,180000,2,2,1,37,0,0,0,0,0,0,107337,48433,46325,47354,48323,49416,2000,1771,1800,1750,1893,2000,0
686e082f2a3a3e8156b5098e,180000,2,1,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b5496d,170000,2,1,2,33,0,0,0,2,0,0,144031,147135,158528,138030,139444,148093,5500,14000,0,5200,11100,0,0
686e082f2a3a3e8156b4f7c6,340000,2,1,1,35,1,-1,-1,-1,-2,-1,-8,1722,1684,-15,-15,3016,1730,1692,0,0,3031,0,1
686e082f2a3a3e8156b5187b,90000,1,1,2,27,-1,-1,-1,-1,-1,-1,1040,3953,6986,868,350,874,3963,6986,868,350,874,548,1
686e082f2a3a3e8156b55cfe,170000,2,1,2,39,0,0,0,0,0,-1,60514,33711,21660,23307,15135,3527,5011,5000,6538,4167,3527,7521,0
686e082f2a3a3e8156b50c9e,280000,1,2,1,34,0,0,0,0,0,0,126305,128888,123909,124078,124489,114110,4728,4700,4210,4455,4109,4000,1
686e082f2a3a3e8156b4ee3f,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
686e082f2a3a3e8156b51cac,360000,2,1,1,35,1,-1,2,0,0,0,0,2819,2600,2800,2800,0,2819,0,200,0,0,0,0
686e082f2a3a3e8156b54607,30000,2,3,2,44,1,2,2,-2,-2,-2,3213,3000,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b5336e,120000,2,1,2,30,0,0,0,0,0,0,170263,157881,160796,160168,156165,158850,5520,5700,5815,5500,5522,6000,0
686e082f2a3a3e8156b51c8e,240000,1,2,1,44,0,-1,-1,-2,-1,0,8421,14201,-28,-401,5109,7001,14230,0,0,7000,2000,3919,0
686e082f2a3a3e8156b54a9f,20000,2,2,2,34,0,0,0,0,0,0,18649,19727,20330,20199,19609,19957,1700,2000,1200,0,348,0,0
686e082f2a3a3e8156b4f40e,50000,2,1,2,29,0,0,2,2,2,2,10532,13145,12637,13922,13556,14528,2800,0,1500,0,1200,0,1
686e082f2a3a3e8156b55bfc,150000,2,2,2,41,-1,-1,-1,-1,-1,-1,316,316,316,316,466,8057,316,316,316,466,8057,316,0
686e082f2a3a3e8156b539d0,320000,2,2,1,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b5027e,200000,2,5,2,34,-1,-1,-1,-1,-1,-1,13943,8943,1662,2553,1977,3175,8964,1662,2553,1977,3175,1804,0
686e082f2a3a3e8156b53f26,220000,1,2,1,45,0,0,0,0,0,0,165583,168400,171249,173455,88063,90240,6500,6000,4500,3000,3000,3000,0
686e082f2a3a3e8156b50af8,70000,2,3,1,26,0,0,0,0,0,0,71147,72227,71078,50777,50841,50682,3800,3200,1950,2000,1828,2200,0
686e082f2a3a3e8156b53a5f,180000,2,1,2,35,-1,-1,-1,-1,0,0,19369,7123,4569,29635,6489,0,7123,4569,36124,0,0,0,0
686e082f2a3a3e8156b55d1a,150000,2,3,1,34,0,0,0,0,0,0,115227,112391,98583,95810,87216,88201,10000,5000,4000,4000,3290,3200,0
686e082f2a3a3e8156b526bf,420000,1,1,1,47,-1,-1,-1,-1,-1,-1,10517,15571,9090,9622,10223,3942,15585,9100,9628,10223,3942,3754,0
686e082f2a3a3e8156b52ed6,200000,1,1,2,28,-1,-1,-1,-1,-1,-1,2393,1726,1602,1040,3564,2031,1731,1606,1051,3574,2036,1703,0
686e082f2a3a3e8156b521af,50000,1,2,2,38,0,0,0,0,0,0,44620,49641,46396,19673,17083,17694,10000,2014,1000,1000,3000,4000,0
686e082f2a3a3e8156b52c9b,80000,2,3,1,38,0,0,0,2,0,0,82391,80977,88815,83153,50910,60012,2925,12265,9,1737,1760,1882,0
686e082f2a3a3e8156b506c8,150000,1,3,1,29,0,0,-2,-2,-2,-2,38675,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b4f2f3,70000,2,3,1,49,2,2,2,2,2,2,21024,21790,21142,23772,24930,25709,1400,0,3000,1700,1340,1100,1
686e082f2a3a3e8156b54954,130000,2,2,2,31,0,0,0,0,0,0,95292,97544,99208,102946,103750,105818,4600,4000,5300,3700,3600,3700,0
686e082f2a3a3e8156b51e21,90000,2,2,2,23,2,4,4,3,4,3,37639,38743,37825,40299,39093,38167,2000,0,3400,0,0,1000,0
686e082f2a3a3e8156b504c2,240000,1,2,1,33,0,0,0,0,0,0,225312,229394,232686,195509,198861,202057,8000,7400,6500,7000,7000,7000,0
686e082f2a3a3e8156b558ae,50000,1,2,2,30,1,-1,-1,-1,0,0,0,676,-104,9732,9927,9339,676,0,10500,337,333,407,0
686e082f2a3a3e8156b5382b,200000,2,2,1,26,0,0,0,0,0,0,98822,95634,94933,96554,65905,1528,4300,3500,5000,5000,1000,0,0
686e082f2a3a3e8156b51dfd,80000,1,2,2,28,3,2,0,0,0,0,79425,77223,75075,76348,77798,79843,107,2563,2356,2296,2800,910,1
686e082f2a3a3e8156b54dfd,280000,1,1,2,36,-2,-2,-2,-2,-2,-2,198,1979,500,55176,5950,289,1979,500,55176,5950,289,6757,0
686e082f2a3a3e8156b514e1,150000,2,1,2,25,0,0,2,2,2,2,129911,140013,137279,143848,146986,149805,12200,1000,10400,5600,5400,5000,1
686e082f2a3a3e8156b54125,40000,1,2,1,47,0,0,2,2,3,2,34664,37611,36726,40985,40085,39354,3524,0,4898,0,0,1800,0
686e082f2a3a3e8156b55946,360000,1,1,1,37,-1,-1,-1,0,0,0,5225,-1900,14838,15987,13438,16935,6,18022,6036,5005,4514,1075,0
686e082f2a3a3e8156b51ed2,20000,1,1,2,23,0,0,0,0,0,0,18311,19598,20154,20132,20129,20226,2000,1307,701,717,834,674,0
686e082f2a3a3e8156b4eff8,200000,2,1,2,27,0,0,0,0,0,0,122923,124653,126355,114881,117213,124793,5704,5930,4000,4003,10033,4400,0
686e082f2a3a3e8156b4f82b,100000,1,1,2,28,0,0,0,0,0,0,72970,100360,91329,76840,77455,79472,30000,4094,2900,2850,3300,3123,0
686e082f2a3a3e8156b5523e,200000,2,5,3,40,0,0,0,0,0,-1,225480,211608,197824,201940,98496,3480,7263,8857,9117,29420,3484,1998,0
686e082f2a3a3e8156b51fa6,50000,2,2,1,32,1,-2,-1,0,0,0,0,0,530,26530,26574,26289,0,530,26000,951,943,970,0
686e082f2a3a3e8156b55675,90000,1,3,2,27,2,2,2,2,2,0,88072,90221,91898,91334,59253,58519,4500,4000,2090,0,2078,2900,1
686e082f2a3a3e8156b51010,50000,2,2,2,24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b53412,20000,1,2,2,27,0,0,0,0,0,0,15993,17016,18356,19028,38688,19897,1600,1621,1293,830,1548,626,0
686e082f2a3a3e8156b5223b,140000,1,2,1,42,0,0,0,0,0,0,127939,100372,84587,65589,69117,65911,5059,14659,5000,8000,5000,10000,0
686e082f2a3a3e8156b5460b,50000,2,3,2,44,2,0,0,2,2,2,23268,24377,27164,26429,28291,27702,1500,3500,0,2300,0,1500,1
686e082f2a3a3e8156b4ffe0,230000,1,2,1,29,0,0,0,0,0,0,113736,99346,83649,46513,35306,36217,4028,3000,2000,2000,1500,2000,0
686e082f2a3a3e8156b4f3c3,420000,2,2,2,25,-1,0,0,0,0,0,28206,122212,117835,112705,111357,108306,100000,4013,3822,4086,3800,3600,0
686e082f2a3a3e8156b548f8,50000,2,3,1,31,0,0,0,0,0,-2,44115,44619,38604,33570,0,0,1652,1906,1000,0,0,0,0
686e082f2a3a3e8156b4ef82,210000,1,2,2,43,1,-2,-1,0,0,0,0,0,38013,40555,45075,37056,0,38013,3000,5000,3000,3000,0
686e082f2a3a3e8156b4f4c2,20000,1,3,2,40,0,0,2,3,2,2,12649,15526,16383,15831,15438,17371,3103,1408,0,0,2346,0,0
686e082f2a3a3e8156b52528,170000,1,5,1,35,0,0,0,0,0,0,91109,88263,89620,90797,47200,47707,6006,4400,3827,2200,2500,2331,0
686e082f2a3a3e8156b51a55,50000,1,2,2,23,0,0,0,0,0,-1,47038,51310,49956,19485,13925,15706,10020,2170,1200,4000,15706,10000,0
686e082f2a3a3e8156b528c4,350000,1,1,2,30,-1,0,-1,-1,-1,-1,18265,31619,2071,2915,1011,23620,16158,2081,2929,1016,23738,919,0
686e082f2a3a3e8156b507e2,180000,1,2,2,28,0,0,0,0,0,0,78128,81976,83338,90031,93692,96100,5000,4000,8000,5000,4000,5500,0
686e082f2a3a3e8156b50a10,340000,2,1,2,42,0,0,0,-1,-1,-1,308023,327245,206832,1682,1352,1520,27245,9184,1682,1352,1520,1442,0
686e082f2a3a3e8156b4f573,50000,1,2,3,53,0,0,0,0,0,0,34664,17242,18417,18877,18985,18184,1500,1500,1000,800,2000,1000,0
686e082f2a3a3e8156b50425,180000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,432,0,0,0,0,432,0,0,0,0,0
686e082f2a3a3e8156b5524b,240000,2,2,2,29,0,0,0,0,0,0,92076,84598,90102,90198,89822,95856,5006,9002,7000,5049,21862,5529,0
686e082f2a3a3e8156b50ead,300000,2,1,2,26,0,0,0,0,0,0,277680,281719,284381,155562,158448,162626,12005,10155,6000,5000,6000,6000,0
686e082f2a3a3e8156b554bd,250000,2,2,2,33,0,0,0,0,0,0,147934,149485,152678,157337,159719,163649,5500,5600,7200,6500,6500,6000,0
686e082f2a3a3e8156b51a0b,140000,1,1,1,43,-1,-1,-1,-1,-1,-1,1872,1249,1872,1453,1453,1034,1249,1872,1453,1453,1034,1872,0
686e082f2a3a3e8156b550cb,30000,2,1,2,24,0,0,0,0,0,0,21540,22236,23574,24583,24915,25280,1358,1696,1705,1037,915,929,0
686e082f2a3a3e8156b55967,90000,1,2,1,42,0,0,0,0,-2,-2,87104,90651,92400,0,0,0,5000,4500,0,0,0,0,1
686e082f2a3a3e8156b53851,170000,2,2,2,29,0,0,0,0,0,0,51401,47742,45529,42805,38017,39239,2100,2105,2447,1200,3000,2000,0
686e082f2a3a3e8156b528d1,140000,2,2,2,29,0,0,0,0,0,0,116597,55208,47397,45860,46264,41870,3018,3000,1356,2000,2000,1500,0
686e082f2a3a3e8156b539ec,200000,2,2,2,35,0,0,0,0,2,0,104393,108956,109339,113799,75536,66643,6300,4588,6910,30,2375,9577,0
686e082f2a3a3e8156b4ee71,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0
686e082f2a3a3e8156b53bf7,130000,2,1,2,33,2,2,0,0,0,0,73250,71473,73892,74400,62134,63430,0,3572,2645,1813,1878,2210,1
686e082f2a3a3e8156b56329,160000,1,3,1,42,2,0,0,0,0,0,139983,125833,127815,130023,98604,101650,6000,5500,5000,3000,4000,3000,1
686e082f2a3a3e8156b5404a,200000,1,1,2,45,0,0,0,0,0,0,14027,16016,16905,11791,7983,6327,5006,3024,2017,173,1002,3197,0
686e082f2a3a3e8156b50775,450000,2,1,2,32,1,-1,0,0,-2,-1,0,1042,4064,-8,-8,402,1042,3057,0,0,410,0,0
686e082f2a3a3e8156b4facc,340000,2,2,1,31,-1,0,0,0,0,0,33639,37373,40990,42415,38367,37940,5000,5000,3000,2000,2000,3000,0
686e082f2a3a3e8156b5242a,230000,2,1,2,27,0,0,0,0,0,0,70327,66310,54176,42944,40391,35820,2963,1941,1534,1532,1565,1330,0
686e082f2a3a3e8156b4f344,470000,1,2,1,41,-2,-2,-2,-2,-2,-1,13780,12242,32463,20621,13711,8294,12300,32520,34,68,8334,45684,0
686e082f2a3a3e8156b50d3b,180000,2,2,2,28,1,2,-1,-1,-1,0,7445,1706,1600,0,22357,21541,0,1600,0,22357,1500,785,1
686e082f2a3a3e8156b50294,110000,1,2,2,40,0,0,0,0,0,0,109191,110937,108869,43207,42954,43839,5000,3814,2000,1600,1600,1600,0
686e082f2a3a3e8156b5347b,100000,1,2,2,36,0,0,0,0,-2,-2,2069,3521,5399,0,0,0,1500,2000,0,0,0,1700,0
686e082f2a3a3e8156b4eecd,20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0
686e082f2a3a3e8156b4f253,220000,1,3,1,30,0,0,0,0,2,0,162105,170592,173969,183030,181385,174107,10000,5013,10626,52,5255,4222,1
686e082f2a3a3e8156b54b36,200000,2,2,1,56,-2,-2,-2,-2,-2,-2,2155,0,1750,4990,1200,676,0,1750,4990,1369,676,2158,0
686e082f2a3a3e8156b51468,310000,2,1,1,30,0,0,0,0,0,0,27289,28020,31140,27695,17338,17731,1489,4415,1084,491,540,4000,0
686e082f2a3a3e8156b504ea,50000,2,2,2,25,0,0,0,0,0,0,28428,27383,12620,6730,6872,7057,2000,1110,240,250,300,2335,0
686e082f2a3a3e8156b53602,80000,2,2,2,23,1,-1,-1,2,0,-1,-1678,75061,3647,2173,390,780,78000,3647,0,0,780,0,0
686e082f2a3a3e8156b50ba6,180000,2,3,2,27,-1,-1,-1,-1,-1,-1,3898,0,715,4079,0,213,0,715,6942,0,213,0,0
686e082f2a3a3e8156b4f8c8,30000,1,2,1,36,1,3,2,0,0,0,22327,21696,21054,21315,21623,22261,0,0,908,800,1000,1809,0
686e082f2a3a3e8156b51617,90000,1,3,1,62,0,0,-1,0,0,0,98784,52485,46978,47512,48111,48761,1050,47003,1680,1734,1828,1737,0
686e082f2a3a3e8156b519a1,210000,2,1,2,32,-1,2,-1,-1,-1,-1,552,276,381,404,943,1909,0,381,404,943,1909,465,0
686e082f2a3a3e8156b51543,330000,2,2,1,45,0,0,0,0,0,0,47644,48906,50531,50595,40491,31020,2000,2500,1309,1243,2027,1056,0
686e082f2a3a3e8156b52ab6,150000,1,1,1,37,-2,-2,-2,-2,-2,-2,22109,10876,10268,5872,3068,2181,10943,10273,5978,3068,2181,3242,1
686e082f2a3a3e8156b53f78,70000,1,2,1,49,0,0,0,0,0,0,59156,54472,51258,48564,47512,48164,2020,2011,2013,2001,2000,2201,0
686e082f2a3a3e8156b5336c,220000,2,1,1,36,0,0,0,2,0,0,184765,190691,206000,194930,130938,134664,9000,20000,0,5000,6000,8000,0
686e082f2a3a3e8156b50320,340000,2,1,1,34,0,0,0,0,0,0,76786,57803,68670,20299,27816,43637,39749,15000,12000,10000,20000,5400,0
686e082f2a3a3e8156b52d47,30000,2,3,2,33,0,0,2,0,0,2,22463,25362,24672,25317,26516,26133,3278,0,1233,1432,0,566,1
686e082f2a3a3e8156b51724,420000,2,1,1,32,0,0,0,0,0,0,45465,46232,31233,22768,22588,22172,1706,1401,804,852,0,8100,0
686e082f2a3a3e8156b51c90,390000,2,2,1,30,0,0,0,0,0,0,98984,102158,96446,87912,89991,91470,5700,4000,3200,3500,3100,3000,0
686e082f2a3a3e8156b55e55,230000,2,2,1,34,2,-1,-1,-1,-1,-1,566,2329,1894,2528,1865,1496,2329,1894,2532,1865,1496,1873,0
686e082f2a3a3e8156b53b31,50000,2,3,1,39,0,0,0,0,0,0,48694,46514,47771,43739,29090,24317,1803,2060,2025,1375,1035,900,0
686e082f2a3a3e8156b5136a,50000,1,2,2,24,1,2,2,2,2,2,33991,33168,34805,34933,36692,37934,0,2500,1000,2900,2000,1500,1
686e082f2a3a3e8156b507c4,180000,2,2,1,26,0,0,0,0,0,0,3679,4711,3996,6007,3260,0,1105,1000,2011,503,0,0,0
686e082f2a3a3e8156b50520,20000,1,1,2,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b546e5,80000,2,2,2,36,-2,-2,-2,-2,-2,-2,3966,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b4f3eb,30000,1,2,2,26,0,0,0,0,0,0,33195,32705,32406,32167,31728,31061,1600,1500,1500,1300,1261,1003,0
686e082f2a3a3e8156b52d53,200000,2,2,1,48,0,0,-1,2,2,2,26465,20435,8475,8162,10962,7350,1000,8475,0,3000,0,7505,0
686e082f2a3a3e8156b4fe99,310000,2,2,1,43,1,2,2,2,2,2,266629,270414,264482,280240,285805,272059,9500,0,20000,10000,0,9755,1
686e082f2a3a3e8156b54b70,150000,1,1,2,26,-1,0,0,0,0,0,29997,31171,30356,30545,31257,33762,2000,2000,2000,1200,3000,2000,0
686e082f2a3a3e8156b53ec5,50000,1,3,2,30,0,0,0,0,0,0,43702,44979,46755,47412,47703,49495,2000,2501,2000,2000,2500,2000,0
686e082f2a3a3e8156b531ab,60000,2,2,1,33,0,0,0,0,0,0,50696,54841,56444,53183,55288,55782,5000,2500,2000,3000,2700,2500,0
686e082f2a3a3e8156b53b49,270000,2,2,2,28,0,0,0,0,0,0,38875,38589,27846,21787,16429,5488,6000,2000,1200,330,2000,8258,0
686e082f2a3a3e8156b5561f,390000,1,2,2,29,-1,-1,0,0,0,0,1246,1476,3436,4868,5781,6681,2000,2000,1500,1000,1000,1000,0
686e082f2a3a3e8156b4ff4a,170000,1,1,1,44,-1,-1,-1,-1,-1,-1,6569,29039,1716,2442,14605,2895,29069,1721,2442,14605,2895,9608,0
686e082f2a3a3e8156b533b3,60000,2,3,3,64,0,0,-1,-1,0,0,15463,14046,218,12716,10686,10400,1410,218,12723,483,600,9132,0
686e082f2a3a3e8156b55160,20000,2,3,1,26,0,0,0,0,0,0,13548,14919,17057,13450,7944,780,1605,3130,1275,159,0,0,0
686e082f2a3a3e8156b51758,230000,2,2,1,33,1,-2,-2,-1,-1,-2,0,0,0,1990,0,0,0,0,1990,0,0,0,1
686e082f2a3a3e8156b4f62b,500000,2,1,1,39,0,0,0,0,0,0,358020,360047,369045,382231,204593,211655,15000,15000,20000,10000,10000,10000,0
686e082f2a3a3e8156b55467,270000,2,1,2,28,1,2,0,0,0,0,118198,86065,77359,63243,51636,31407,0,10004,10000,10000,10000,5000,0
686e082f2a3a3e8156b5584c,200000,1,1,1,36,1,-2,-2,-1,0,-1,-95,-95,-95,5,1005,21,0,0,100,1000,500,0,0
686e082f2a3a3e8156b51876,380000,1,1,1,35,1,-1,-1,-1,-2,-2,-6,15099,1299,0,0,0,15105,1300,0,0,0,0,0
686e082f2a3a3e8156b51ccd,130000,2,3,1,49,1,-1,2,0,0,0,0,10152,9840,11671,11914,12155,10152,0,2000,431,438,244,0
686e082f2a3a3e8156b4f255,300000,2,1,1,42,-2,-2,-2,-2,-2,-2,3000,3300,0,0,610,2165,3300,0,0,610,2165,2394,0
686e082f2a3a3e8156b51f54,150000,1,2,1,30,-2,-2,-2,-2,-2,-2,116778,59731,89742,116067,97725,76466,60367,100483,116567,50156,10383,316,0
686e082f2a3a3e8156b502b8,70000,2,1,2,28,0,0,0,0,0,0,53690,54374,47762,44487,45618,46706,2208,1800,2000,2000,2000,3000,0
686e082f2a3a3e8156b540c8,200000,1,2,2,38,0,0,0,0,0,0,176579,180233,184262,178674,181318,179477,6589,7074,7870,7028,6768,5906,1
686e082f2a3a3e8156b52674,260000,2,3,2,33,0,0,-2,-2,-2,-1,7571,3563,2786,-14,-14,12074,1000,2786,14,0,12088,2021,0
686e082f2a3a3e8156b521aa,30000,1,3,2,59,0,0,0,0,0,0,28372,29152,29643,29593,27952,0,2010,1500,788,559,0,0,0
686e082f2a3a3e8156b4fc3b,250000,2,2,1,32,0,0,-2,-2,-2,-2,39936,16666,16998,17504,0,0,8666,16998,17504,0,0,0,0
686e082f2a3a3e8156b4f64c,140000,1,1,2,55,0,0,0,0,0,0,65640,66998,68201,68866,65781,66850,2800,3000,2500,2350,2400,2400,0
686e082f2a3a3e8156b523b7,60000,2,3,3,53,0,0,0,0,0,0,57605,48877,39689,27736,28420,29002,2088,1900,962,1100,1023,963,0
686e082f2a3a3e8156b4fb03,320000,2,2,2,29,1,2,0,0,3,2,93070,90725,92697,106221,104313,103251,0,3500,15100,11,3129,11,1
686e082f2a3a3e8156b52efc,20000,1,2,2,24,0,0,0,0,0,0,15221,17847,18483,19079,19060,19061,3287,1313,1299,670,686,694,0
686e082f2a3a3e8156b51d50,50000,2,2,1,26,1,2,2,2,2,2,16919,17854,18265,20455,19986,21747,1500,1000,2500,0,2100,0,0
686e082f2a3a3e8156b553ae,80000,2,2,1,41,-1,-1,-1,-1,-1,-1,264,264,264,264,264,414,264,264,264,264,414,264,0
686e082f2a3a3e8156b4f189,500000,1,3,1,39,0,0,0,0,0,0,315201,332071,375070,354839,369532,367399,25000,50000,20000,19586,14122,12022,0
686e082f2a3a3e8156b545c8,20000,2,2,2,35,0,0,0,0,0,0,15852,16861,17884,18590,18959,19347,1579,1602,1308,677,692,1577,1
686e082f2a3a3e8156b535ba,110000,2,1,2,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b540ed,110000,1,2,1,45,0,0,2,0,0,0,112987,110899,111642,109584,50281,49373,7000,4000,2975,22000,1726,6000,1
686e082f2a3a3e8156b52995,70000,2,3,2,22,0,0,0,0,0,0,53443,49938,39926,18648,5022,5935,3000,2500,2500,1000,1000,500,0
686e082f2a3a3e8156b504d0,60000,1,2,1,36,0,0,0,0,0,0,46064,47320,48337,49332,50536,51694,2000,1805,1800,2000,2000,2000,0
686e082f2a3a3e8156b4f7bf,120000,2,2,2,25,3,3,2,2,2,2,87057,84821,85194,76326,75122,75011,0,2700,2500,3200,2500,0,1
686e082f2a3a3e8156b543a8,160000,2,1,2,26,0,0,2,0,0,0,13122,14011,12276,7457,7267,5529,4000,1000,2000,2000,2000,500,0
686e082f2a3a3e8156b4fa4d,360000,2,3,2,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
686e082f2a3a3e8156b5281f,230000,1,1,2,26,-1,-1,-1,-1,-1,-1,1099,19686,3036,4806,-1,1699,19686,4000,4806,0,1700,3658,0
686e082f2a3a3e8156b55c5d,170000,2,1,2,34,-2,-2,-1,0,0,-2,1088,1088,5425,5223,1084,1084,1088,5425,1000,2172,1084,1189,0
686e082f2a3a3e8156b5000e,220000,2,1,1,38,0,0,0,0,0,0,4438,7211,9948,10528,12412,13745,3000,3000,1000,2000,1500,0,0
686e082f2a3a3e8156b4faa7,10000,1,1,2,24,2,0,0,0,0,2,7554,8287,9580,9267,10096,9415,1500,2000,700,1500,0,1000,1
686e082f2a3a3e8156b50837,50000,2,2,1,36,0,0,0,0,0,0,47404,48786,49768,27838,84810,27785,2148,2130,1200,1012,2034,973,0
686e082f2a3a3e8156b51eaf,270000,2,2,1,40,0,0,0,0,0,0,26183,24181,19543,17160,14818,12702,1826,1469,514,581,612,312,1
686e082f2a3a3e8156b4f7ca,200000,1,2,2,25,1,-2,-2,-1,0,0,0,0,0,1517,48669,49635,0,0,1517,48000,1775,1992,1
686e082f2a3a3e8156b540f0,50000,1,2,2,44,0,0,0,0,0,0,49699,49685,28637,38137,27128,29992,2300,1487,21704,3000,15000,18300,0
